0,1,2
95.0,104.0,49.0
11.0,163.0,83.0
81.0,140.0,111.0
70.0,160.0,136.0
63.0,192.0,115.0
87.0,164.0,157.0
75.0,105.0,115.0
9.0,112.0,59.0
77.0,193.0,162.0
40.0,140.0,44.0
95.0,140.0,49.0
11.0,140.0,83.0
70.0,140.0,136.0
63.0,140.0,115.0
87.0,140.0,157.0
75.0,140.0,115.0
9.0,140.0,59.0
77.0,140.0,162.0
40.0,104.0,49.0
40.0,163.0,83.0
40.0,140.0,111.0
40.0,160.0,136.0
40.0,192.0,115.0
40.0,164.0,157.0
40.0,105.0,115.0
40.0,112.0,59.0
40.0,193.0,162.0
95.0,104.0,44.0
11.0,163.0,44.0
81.0,140.0,44.0
70.0,160.0,44.0
63.0,192.0,44.0
87.0,164.0,44.0
75.0,105.0,44.0
9.0,112.0,44.0
77.0,193.0,44.0
